LDTagID,SCADATagID,LowerBound,UpperBound,Reference_Meter
rate.PR-61-FIT-1-SQ-AFR,PE_QSO_SU_61M1_A,0,14000,HT_QSO_DS_61M1
rate.PR-61-FIT-1-SQ-DFR,PE_QSO_SU_61M1,0,14000,HT_QSO_DS_61M1
temp.PR-61-TI-1,TE_QSO_SU_61T1,0,100,
pres.PR-61-PI-1,PE_QSO_SU_61P1,0,1000,
rate.PR-62-FIT-1-SQ-AFR,PE_QSO_SU_62M1_A,0,12000,HT_QSO_DS_62M1
